,Location,Property subtype,Price,Number of bedrooms,Living area,Kitchen,Furnished,Open fireplace,Terrace,Garden,Surface area land,Pool,Condition
593,Andenne,HOUSE,450000.0,4.0,217.0,False,False,False,False,False,0.0,False,True
595,Ath,HOUSE,129000.0,2.0,130.0,True,False,False,False,False,210.0,False,True
597,Antwerpen,HOUSE,390000.0,3.0,180.0,True,False,False,False,False,157.0,False,True
598,Brugge,APARTMENT_BLOCK,249000.0,2.0,147.0,True,False,False,False,False,227.0,False,True
599,Brecht,HOUSE,435000.0,3.0,213.0,True,False,False,False,False,793.0,False,False
600,Brugge,HOUSE,249000.0,2.0,147.0,True,False,False,False,False,227.0,False,True
601,Brugge,MIXED_USE_BUILDING,249000.0,2.0,147.0,True,False,False,False,False,227.0,False,True
602,Sint-Niklaas,HOUSE,295000.0,3.0,130.0,True,False,False,False,True,320.0,False,True
603,Roeselare,HOUSE,223000.0,3.0,150.0,False,False,False,True,False,192.0,False,True
604,Mons,HOUSE,157500.0,3.0,136.0,True,False,False,True,False,405.0,False,True
605,Trooz,HOUSE,135000.0,2.0,105.0,False,False,False,True,False,180.0,False,True
606,Leuven,HOUSE,365000.0,4.0,187.0,True,False,False,True,True,585.0,False,True
610,Oudenaarde,HOUSE,299500.0,3.0,220.0,True,False,False,True,True,469.0,False,True
611,Oudenaarde,HOUSE,169000.0,3.0,155.0,True,False,False,True,False,241.0,False,True
612,Anderlecht,APARTMENT_BLOCK,549000.0,4.0,207.0,True,False,False,True,False,0.0,False,True
613,Leuven,HOUSE,364900.0,4.0,250.0,False,False,False,False,False,792.0,False,True
614,Hemiksem,HOUSE,275000.0,4.0,227.0,True,False,False,True,True,206.0,False,True
616,Charleroi,HOUSE,195000.0,3.0,100.0,True,False,False,True,False,94.0,False,True
617,Nivelles,VILLA,895000.0,4.0,287.0,True,False,False,False,True,1501.0,False,True
618,Mortsel,HOUSE,495000.0,3.0,165.0,True,False,False,False,True,156.0,False,True
619,Sint-Niklaas,HOUSE,394000.0,6.0,351.0,True,False,False,True,True,283.0,False,True
620,Nivelles,HOUSE,399000.0,3.0,140.0,True,False,False,False,True,383.0,False,True
621,Nivelles,HOUSE,399000.0,3.0,140.0,True,False,False,False,True,383.0,False,True
623,Schaerbeek - Schaarbeek,HOUSE,495000.0,5.0,165.0,False,False,False,True,True,135.0,False,True
624,Tielt,HOUSE,319000.0,4.0,240.0,True,False,False,True,True,351.0,False,True
625,Kortrijk,MANSION,595000.0,4.0,320.0,True,False,False,False,False,1205.0,False,False
626,Waremme,TOWN_HOUSE,239900.0,5.0,236.0,True,False,False,True,True,216.0,False,True
627,Halle-Vilvoorde,HOUSE,270000.0,3.0,173.0,False,False,False,False,False,480.0,False,False
628,Berchem-Sainte-Agathe - Sint-Agatha-Berchem,HOUSE,510000.0,3.0,225.0,True,False,True,True,True,0.0,False,True
631,Ville de Bruxelles - Stad Brussel,HOUSE,335000.0,5.0,160.0,False,False,False,False,True,0.0,False,True
632,Stabroek,HOUSE,340000.0,3.0,120.0,True,False,False,True,False,90.0,False,True
